constituency_name,counstituency_code,vci_aug_16,vci_sep_16,vci_nov_16,vci_dec_16,vci_jan_17
GANZE,15,11.85,14.66,2.8,-10.82,2.64
KILIFI NORTH,11,12.36,16.56,-0.08,-23.2,-13.79
KALOLENI,13,14.14,14.65,-6.57,-23.91,-15.14
MALINDI,16,16.65,16.16,-1.17,-16.81,-7.23
KINANGO,10,19.17,17.62,3.52,-4.82,3.68
MAGARINI,17,22.08,21.56,7.53,-9.13,-2.15
LUNGA LUNGA,8,22.46,21.38,7.15,-3.57,4.7
FAFI,31,23.52,20.17,6.33,11.14,16.31
DAADAB,30,25.72,30.71,8.73,11.2,14.04
DUJIS/GARISSA TOWNSHIP,27,26.37,29,15.62,18.35,18.34
KIBWEZI EAST,88,26.73,28.92,18.69,32.29,41.33
LAMU WEST,22,27.7,18.23,1.12,-12.83,-13.26
BURA,20,30.28,32.53,16.2,19.57,20.42
KIBWEZI WEST,87,30.83,30.46,19.27,35.95,42.76
VOI,26,31.49,34.32,16.17,17.69,26.05
KAJIADO SOUTH,187,31.59,36.11,25.6,28.6,25.83
KAJIADO CENTRAL,184,32.76,32.74,26.42,29.94,31.63
IJARA,32,33.01,22.16,9.04,6.16,7.87
MOYALE,45,33.6,29.8,13.75,12.48,16.55
KITUI SOUTH,74,33.65,37.03,21.47,26.49,29.99
GALOLE,19,34.43,39.09,22.32,16.54,15.25
KAJIADO WEST,186,34.47,36.62,37.48,39.06,32.17
KILIFI SOUTH,12,34.95,36.16,25.22,-6.59,2.13
GARSEN,18,34.98,35.43,17.31,7.53,9.2
KITUI RURAL,71,37.32,36.25,26.96,33.18,37.11
KITUI EAST,73,37.81,41.17,25.78,29.2,35.83
KAJIADO EAST,185,39.55,38.61,23.68,30.1,32.99
MATUGA,9,40.38,34.88,16.02,-5.26,5.15
NORTH HORR,46,40.5,37.14,18.91,12.77,8.92
KILGORIS,177,40.55,23.06,37.31,46.42,38.71
MWATATE,25,40.57,41.94,17.04,11.88,16.27
MSAMBWENI,7,41.18,35.72,25.38,11.66,13.76
WUNDANYI,24,41.45,45.18,25.41,19.38,25.26
RABAI,14,41.5,40.24,7.13,-23.83,-16.62
NAROK SOUTH,181,41.73,33.97,30.67,32.81,27.87
MWINGI CENTRAL,69,43.88,47.43,24.58,25.05,35.55
MAKUENI,86,44.64,42.73,29.79,43.58,45.89
