county_name,county_code,vci_aug_16,vci_sep_16,vci_nov_16,vci_dec_16,vci_jan_17
Narok,33,47.1,34,34.63,37.61,32.29
Marsabit,10,45.22,41.09,20.52,13.73,10.8
Kitui,15,39.84,42.33,23.9,26.35,32.54
Makueni,17,39.73,39.84,25.93,37.68,43.54
Taita Taveta,6,37.58,41.49,20.92,17.92,22.83
Lamu,5,37.02,26.94,6.37,-6.55,-7.32
Kajiado,34,34.34,36.23,29.92,32.93,30.49
Garissa,7,33.68,30.63,11.31,11.65,13.8
Tana River,4,33.23,35.36,18.19,13.92,14.56
Kwale,2,23.76,21.62,7.07,-3.76,4.61
Kilifi,3,19.07,19.74,5.27,-11.82,-2.85
Wajir,8,,,19.08,12.53,14.49
Mandera,9,,,25.16,15.94,18.98
Isiolo,11,,,21.03,17.63,19.81
Meru,12,,,31.86,27.07,35.75
Tharaka Nithi,13,,,31.95,24.11,33.13
Embu,14,,,36.43,36.21,46.76
Nyeri,19,,,49.05,42.21,40.99
Turkana,23,,,24.47,18.22,14.9
West Pokot,24,,,33.56,22.87,16.63
Samburu,25,,,17.17,15.81,17.29
Baringo,30,,,39.16,27.35,20.03
Laikipia,31,,,28.38,26.63,23.44
